,IRN,ORGANIZATION NAME,SCHOOL TYPE,GRADE SPAN,ORGANIZATION TYPE,ORGANIZATION CATEGORY,STATUS,DESIGNATED COUNTY,WEB URL,ORG EMAIL ADDRESS,Address,ORG PHONE,ORG FAX,SUPERINTENDENT,SUPERINTENDENT EMAIL,SUPERINTENDENT PHONE,TREASURER,TREASURER EMAIL,TREASURER PHONE,PRINCIPAL,PRINCIPAL EMAIL,PRINCIPAL PHONE,PARENT IRN,PARENT ORGANIZATION NAME,Latitude,Longitude
1439,"=""026823""",New London High School,High School,"=""9-12""",Public School,School,Open,Huron,,eyetter@newlondon.k12.oh.us,"1 Wildcat Dr, New London, Ohio, 44851",(419) 929-1586,(419) 929-9513,,,,,,,Eric Yetter,eyetter@newlondon.k12.oh.us,(419) 895-1700,"=""047720""",New London Local,0.0,0.0
1440,"=""026849""",Tri-Village High School,High School,"=""7-12""",Public School,School,Open,Darke,,lee_morris@darke.k12.oh.us,"315 S Main St, New Madison, Ohio, 45346",(937) 996-1511,(937) 996-0307,,,,,,,Lee Morris,fourwildcats@sbcglobal.net,(937) 344-8186,"=""046680""",Tri-Village Local,0.0,0.0
1441,"=""026864""",New Miami Elementary School,Elementary School,"K-5,P",Public School,School,Open,Butler,,tclass@new-miami.k12.oh.us,"606 Seven Mile Ave, Hamilton, Ohio, 45011",(513) 896-7153,(513) 896-9313,,,,,,,Tabatha Class,tclass@new-miami.k12.oh.us,(937) 608-1903,"=""046136""",New Miami Local,0.0,0.0
1442,"=""026872""",New Miami  High School,High School,"=""9-12""",Public School,School,Open,Butler,,khanges@new-miami.k12.oh.us,"600 Seven Mile Ave, Hamilton, Ohio, 45011",(513) 863-4917,(513) 896-3956,,,,,,,Kara Hanges,khanges@new-miami.k12.oh.us,(513) 795-7987,"=""046136""",New Miami Local,0.0,0.0
1443,"=""026880""",Springfield Elementary School,Elementary School,"=""K-4""",Public School,School,Open,Mahoning,,,"11419 Youngstown Pittsburgh Rd, New Middletown, Ohio, 44442",(330) 542-3722,(330) 542-2488,,,,,,,Anthony Albanese,aalbanese@springfieldlocal.us,(330) 507-3264,"=""048371""",Springfield Local,0.0,0.0
1444,"=""026906""",New Philadelphia High School,High School,"=""9-12""",Public School,School,Open,Tuscarawas,,jurkovice@npschools.org,"343 Ray Ave NW, New Philadelphia, Ohio, 44663",(330) 364-0644,(330) 364-0633,,,,,,,Eric Jurkovic,jurkovice@npschools.org,,"=""044487""",New Philadelphia City,0.0,0.0
1445,"=""026922""",New Richmond High School,High School,"=""9-12""",Public School,School,Open,Clermont,,,"1131 Bethel New Richmond Rd, New Richmond, Ohio, 45157",(513) 553-3191,(513) 553-2531,,,,,,,Mark Bailey,bailey_m@nrschools.org,(513) 553-3191,"=""045559""",New Richmond Exempted Village,0.0,0.0
1446,"=""026930""",New Richmond Middle School,Middle School,"=""6-8""",Public School,School,Open,Clermont,,,"1141 Bethel New Richmond Rd, New Richmond, Ohio, 45157",(513) 553-3161,(513) 553-6412,,,,,,,Courtney Lilly,lilly_c@nrschools.org,(513) 967-8775,"=""045559""",New Richmond Exempted Village,0.0,0.0
1447,"=""026948""",New Riegel Elementary School,Elementary School,"=""K-6""",Public School,School,Open,Seneca,,,"44 N Perry St, New Riegel, Ohio, 44853",(419) 595-2265,(419) 595-2901,,,,,,,David Rombach,drombach@newriegelschools.org,(419) 595-2256,"=""049718""",New Riegel Local,0.0,0.0
1448,"=""026955""",New Riegel High School,High School,"=""7-12""",Public School,School,Open,Seneca,,,"44 N Perry St, New Riegel, Ohio, 44853",(419) 595-2256,(419) 595-2901,,,,,,,Justin Johnson,jjohnson@newriegelschools.org,(419) 680-8229,"=""049718""",New Riegel Local,0.0,0.0
1449,"=""026989""",New Vienna Elementary School,Elementary School,"=""K-5""",Public School,School,Open,Clinton,,,"301 E Church St, New Vienna, Ohio, 45159",(937) 987-2448,(937) 584-7453,,,,,,,David Jones,jason.jones@eastclinton.org,(513) 984-4913,"=""046409""",East Clinton Local,0.0,0.0
1450,"=""027003""",Crestview Elementary School,Elementary School,"=""K-4""",Public School,School,Open,Columbiana,,,"3407 Middleton Rd, Columbiana, Ohio, 44408",(330) 482-5370,(330) 482-5373,,,,,,,Marian Dangerfield,mdangerfield@crestviewlocal.k12.oh.us,(330) 482-5370,"=""046433""",Crestview Local,0.0,0.0
1451,"=""027011""",Newark High School,High School,"=""9-12""",Public School,School,Open,Licking,,tgbowman@laca.org,"314 Granville St, Newark, Ohio, 43055",(740) 670-7400,(740) 670-7409,,,,,,,Thomas Bowman,tgbowman@laca.org,(740) 670-7400,"=""044453""",Newark City,0.0,0.0
1452,"=""027045""",Newbury Elementary School,Elementary School,"=""K-5""",Public School,School,Open,Geauga,http://www.newbury.k12.oh.us,,"14775 Auburn Rd, Newbury, Ohio, 44065",(440) 564-2282,(440) 564-9788,,,,,,,Cynthia Tomassetti,cynthia.tomassetti@aacs.net,(440) 564-2282,"=""047217""",Newbury Local ,0.0,0.0
1453,"=""027052""",Newbury High School,High School,"=""6-12""",Public School,School,Open,Geauga,http://www.newbury.k12.oh.us,,"14775 Auburn Rd, Newbury, Ohio, 44065",(440) 564-2281,(440) 564-9788,,,,,,,Michael Chaffee,michael.chaffee@newburyschools.org,(440) 564-2281,"=""047217""",Newbury Local ,0.0,0.0
1454,"=""027060""",Newcomerstown High School,High School,"=""9-12""",Public School,School,Open,Tuscarawas,http://www.nct.k12.oh.us,josh.branch@staff.nctschools.org,"659 Beaver St, Newcomerstown, Ohio, 43832",(740) 498-5111,(740) 498-4994,,,,,,,Joshua Branch,joshua.branch@staff.nctschools.org,(330) 447-1241,"=""045542""",Newcomerstown Exempted Village,0.0,0.0
1455,"=""027094""",Newport Elementary School,Elementary School,"=""K-6""",Public School,School,Open,Washington,,,"100 Harrison St, Newport, Ohio, 45768",(740) 473-2667,(740) 865-2010,,,,,,,John Williams,bwilliams@frontierlocalschools.com,(740) 473-2667,"=""050492""",Frontier Local,0.0,0.0
1456,"=""027102""",Newton D Baker School,Elementary School,"P,K-8",Public School,School,Open,Cuyahoga,,,"3690 W 159th St, Cleveland, Ohio, 44111",(216) 838-6650,,,,,,,,Wendy Rose-geiling,giles68@hotmail.com,(440) 829-0714,"=""043786""",Cleveland Municipal,0.0,0.0
1457,"=""027110""",Newton Elementary School,Elementary School,"=""K-6""",Public School,School,Open,Miami,,,"201 N Long St, Pleasant Hill, Ohio, 45359",(937) 676-2002,(937) 676-2397,,,,,,,Danielle Davis,danielle_davis@newton.k12.oh.us,(937) 676-2002,"=""048637""",Newton Local,0.0,0.0
1458,"=""027136""",Newton Elementary School,Elementary School,"=""K-5""",Public School,School,Open,Licking,,,"6645 Mount Vernon Rd, Newark, Ohio, 43055",(740) 745-5982,(740) 745-1472,,,,,,,Michele Gorius,mgorius@northfork.k12.oh.us,(740) 745-5982,"=""048025""",North Fork Local,0.0,0.0
1459,"=""027151""",Newton Falls High School,High School,"=""9-12""",Public School,School,Open,Trumbull,,berillaa@nfschools.org,"907 Milton Blvd, Newton Falls, Ohio, 44444",(330) 872-5121,(330) 872-5013,,,,,,,John Crowder,crowderj@nfschools.org,(330) 872-5121,"=""045567""",Newton Falls Exempted Village,0.0,0.0
1460,"=""027169""",Newton High School,High School,"=""7-12""",Public School,School,Open,Miami,,,"201 N Long St, Pleasant Hill, Ohio, 45359",(937) 676-2002,(937) 676-3258,,,,,,,Danielle Davis,danielle_davis@newton.k12.oh.us,(937) 676-2002,"=""048637""",Newton Local,0.0,0.0
1461,"=""027185""",Mercer Elementary School,Elementary School,"=""K-6""",Public School,School,Open,Hamilton,,,"2600 Bartels Rd, Cincinnati, Ohio, 45244",(513) 232-7000,(513) 232-3156,,,,,,,Jodi Davidson,jodidavidson@foresthills.edu,(513) 635-7133,"=""047340""",Forest Hills Local,0.0,0.0
1462,"=""027193""",Fairview Middle School,Middle School,"=""6-8""",Public School,School,Open,Defiance,,,"6289 Us Highway 127, Sherwood, Ohio, 43556",(419) 658-2331,(419) 658-4010,,,,,,,Suzanne Geis,Suzanne.Geis@centrallocal.org,(419) 658-8974,"=""046714""",Central Local ,0.0,0.0
1463,"=""027201""",Circleville Elementary School,Elementary School,"K-5,P",Public School,School,Open,Pickaway,,,"100 Tiger Drive, Circleville, Ohio, 43113",(740) 474-2495,(740) 477-6681,,,,,,,Karen Bullock,Karen.Bullock@CVCSD.com,(740) 474-2495,"=""043760""",Circleville City,0.0,0.0
1464,"=""027250""",Noble Elementary School,Elementary School,"=""K-5""",Public School,School,Open,Cuyahoga,,R_Coleman@chuh.org,"1293 Ardoon St, Cleveland Heights, Ohio, 44121",(216) 371-6535,,,,,,,,PATRICK CARPENTER,P_Carpenter@chuh.org,(216) 371-6535,"=""043794""",Cleveland Heights-University Heights City,0.0,0.0
1465,"=""027268""",Noble 4-5 Elementary,Elementary School,"=""4-5""",Public School,School,Open,Seneca,,,"130 Minerva St, Tiffin, Ohio, 44883",(419) 447-1566,(419) 448-5219,,,,,,,Michael Newlove,Mike_Newlove@tiffincityschools.org,,"=""044891""",Tiffin City,0.0,0.0
1466,"=""027300""",Noble Elementary School,Elementary School,"=""K-1""",Public School,School,Open,Defiance,,,"10553 Haller St, Defiance, Ohio, 43512",(419) 782-7941,(419) 784-3788,,,,,,,Denise Wright,DWright@tinora.org,(419) 782-7941,"=""046722""",Northeastern Local,0.0,0.0
1467,"=""027318""",Nolley Elementary School,Elementary School,"=""K-4""",Public School,School,Open,Summit,,,"6285 Renninger Rd, Akron, Ohio, 44319",(330) 882-4133,(330) 882-2001,,,,,,,Christina Pappas,christi.pappas@manchester-panthers.org,(330) 232-0777,"=""050005""",Manchester Local,0.0,0.0
1468,"=""027326""",Nordonia Middle School,Middle School,"=""7-8""",Public School,School,Open,Summit,,,"73 Leonard Ave, Northfield, Ohio, 44067",(330) 467-0584,,,,,,,,Ryan Durr,ryan.durr@nordoniaschools.org,(330) 348-4232,"=""050047""",Nordonia Hills City,0.0,0.0
1469,"=""027334""",Nordonia High School,High School,"=""9-12""",Public School,School,Open,Summit,,,"8006 S Bedford Rd, Macedonia, Ohio, 44056",(330) 468-4601,(330) 468-0045,,,,,,,Casey Wright,Casey.Wright@nordoniaschools.org,(330) 908-6016,"=""050047""",Nordonia Hills City,0.0,0.0
1470,"=""027342""",Normandy Elementary School,Elementary School,"=""2-5""",Public School,School,Open,Montgomery,,rebecca/o'neil@centerville.k12.oh.us,"401 Normandy Ridge Rd, Dayton, Ohio, 45459",(937) 434-0917,(937) 434-0953,,,,,,,Rebecca O'Neil,rebecca.o'neil@centerville.k12.oh.us,,"=""043737""",Centerville City,0.0,0.0
1471,"=""027359""",Normandy Elementary School,Elementary School,"=""K-2""",Public School,School,Open,Cuyahoga,,,"26920 Normandy Rd, Bay Village, Ohio, 44140",(440) 617-7350,(440) 617-7351,,,,,,,Daniel Sebring,sebring.dan@gmail.com,(440) 231-6230,"=""043547""",Bay Village City,0.0,0.0
1472,"=""027367""",Normandy High School,High School,"=""8-12""",Public School,School,Open,Cuyahoga,,vanekd@parmacityschools.org,"2500 W Pleasant Valley Rd, Parma, Ohio, 44134",(440) 885-2400,(440) 885-2402,,,,,,,Rachel Urban,urbanr@parmacityschools.org,(440) 342-7801,"=""044636""",Parma City,0.0,0.0
1473,"=""027383""",Fairfield North Elementary School,Elementary School,"=""K-5""",Public School,School,Open,Butler,,,"6116 Morris Rd, Hamilton, Ohio, 45011",(513) 868-0070,(513) 868-3621,,,,,,,Denise Hayes,Hayes_d@fairfieldcityschools.com,(513) 868-0070,"=""046102""",Fairfield City,0.0,0.0
1474,"=""027425""",Waverly Junior High School,Junior High School,"=""6-8""",Public School,School,Open,Pike,,,"3 Tiger Drive, Waverly, Ohio, 45690",(740) 947-4527,(740) 947-8047,,,,,,,Ferdinand Marquez,ferdie.marquez@waverlytigers.net,(740) 947-4527,"=""049148""",Waverly City,0.0,0.0
1475,"=""027433""",North Elementary School,Elementary School,"=""K-4""",Public School,School,Open,Columbiana,,,"90 Maine Blvd, East Liverpool, Ohio, 43920",(330) 386-8772,(330) 386-4228,,,,,,,,,,"=""043919""",East Liverpool City,0.0,0.0
1476,"=""027458""",Orrville Elementary School,Elementary School,"=""K-4""",Public School,School,Open,Wayne,,,"605 Mineral Springs St, Orrville, Ohio, 44667",(330) 682-1851,,,,,,,,Beverly Waseman,orvl_waseman@tccsa.net,(330) 682-1851,"=""044610""",Orrville City,0.0,0.0
1477,"=""027508""",Lincolnview Elementary School,Elementary School,"=""K-6""",Public School,School,Open,Van Wert,,,"15945 Middle Point Rd, Van Wert, Ohio, 45891",(419) 968-2351,(419) 968-2227,,,,,,,Nita Meyer,nmeyer@lincolnview.k12.oh.us,(419) 968-2351,"=""050369""",Lincolnview Local,0.0,0.0
1478,"=""027516""",Crestline Preschool,Elementary School,"=""P""",Public School,School,Open,Crawford,,,"435 Oldfield Rd, Crestline, Ohio, 44827",(419) 683-3647,,,,,,,,Julie Murphy,murphy.julie@crestline.k12.oh.us,(419) 512-4298,"=""045344""",Crestline Exempted Village,0.0,0.0
1479,"=""027532""",Tuslaw Elementary School,Elementary School,"=""K-4""",Public School,School,Open,Stark,,,"1920 Manchester Ave NW, Massillon, Ohio, 44647",(330) 837-7809,(330) 837-7810,,,,,,,Shelly Menuez,smenuez@tuslawschools.org,(330) 837-7809,"=""049957""",Tuslaw Local,0.0,0.0
1480,"=""027565""",North High School,High School,"=""9-12""",Public School,School,Open,Summit,,,"985 Gorge Blvd, Akron, Ohio, 44310",(330) 761-2665,(330) 761-2661,,,,,,,Kimberly Sabetta,ksabetta@akron.k12.oh.us,(330) 633-9965,"=""043489""",Akron City,0.0,0.0
1481,"=""027573""",North High School,High School,"=""9-12""",Public School,School,Open,Lake,,,"34041 Stevens Blvd, Eastlake, Ohio, 44095",(440) 975-3666,(440) 975-3671,,,,,,,Eric Frei,eric.frei@weschools.org,(440) 975-3666,"=""045104""",Willoughby-Eastlake City,0.0,0.0
1482,"=""027599""",M L King Elementary School,Elementary School,"P,K-8",Public School,School,Open,Mahoning,,,"2724 Mariner Ave, Youngstown, Ohio, 44505",(330) 744-7823,(330) 480-1907,,,,,,,,,,"=""045161""",Youngstown City,0.0,0.0
1483,"=""027607""",North Rd Elementary School,Elementary School,"=""5""",Public School,School,Open,Trumbull,,,"8100 South St SE, Warren, Ohio, 44484",(330) 856-8265,(330) 856-8287,,,,,,,Sandra Williams,Sandra.Williams@howlandschools.org,(330) 856-8265,"=""050161""",Howland Local,0.0,0.0
1484,"=""027656""",Northeastern High School,High School,"=""9-12""",Public School,School,Open,Clark,,toddjustice@nelsd.org,"1480 Bowman Rd, Springfield, Ohio, 45502",(937) 328-6575,(937) 324-7811,,,,,,,Todd Justice,toddjustice@nelsd.org,(937) 328-6575,"=""046250""",Northeastern Local,0.0,0.0
1485,"=""027664""",Clermont Northeastern Middle School,Middle School,"=""6-8""",Public School,School,Open,Clermont,,,"2792 US Highway 50, Batavia, Ohio, 45103",(513) 625-1211,(513) 625-3325,,,,,,,Laura Black-Nazzarine,nazzarine_l@cneschools.org,(513) 685-1398,"=""046326""",Clermont Northeastern Local,0.0,0.0
1486,"=""027672""",Northfield Elementary School,Elementary School,"=""K-4""",Public School,School,Open,Summit,,,"9370 Olde 8 Rd, Northfield, Ohio, 44067",(330) 467-2010,(330) 468-0152,,,,,,,Marc Kaminicki,marc.kaminicki@nordoniaschools.org,(330) 467-2010,"=""050047""",Nordonia Hills City,0.0,0.0
1487,"=""027680""",Northland High School,High School,"=""9-12""",Public School,School,Open,Franklin,,,"1919 Northcliff Dr, Columbus, Ohio, 43229",(614) 365-5342,,,,,,,,Jason Johnson,jjohnson5103@columbus.k12.oh.us,(614) 365-5956,"=""043802""",Columbus City School District,0.0,0.0
1488,"=""027698""",Northmont High School,High School,"=""9-12""",Public School,School,Open,Montgomery,,,"4916 National Rd, Clayton, Ohio, 45315",(937) 832-6000,,,,,,,,Jason Inkrott,jinkrott@northmontschools.net,(937) 832-6007,"=""048728""",Northmont City,0.0,0.0
1489,"=""027706""",Northmont Middle School,Middle School,"=""7-8""",Public School,School,Open,Montgomery,,,"4810 National Rd, Clayton, Ohio, 45315",(937) 832-6500,,,,,,,,Jarrod Brumbaugh,jarrodbrumbaugh@hotmail.com,(937) 423-5077,"=""048728""",Northmont City,0.0,0.0
1490,"=""027714""",Northmoor Elementary School,Elementary School,"=""2-6""",Public School,School,Open,Montgomery,,,"4421 Old Salem Rd, Englewood, Ohio, 45322",(937) 832-6800,,,,,,,,,,,"=""048728""",Northmont City,0.0,0.0
1491,"=""027722""",Northmor High School,High School,"=""7-12""",Public School,School,Open,Morrow,,,"7819 State Route 19, Galion, Ohio, 44833",(419) 946-3946,(419) 947-7545,,,,,,,Benjamin Bethea,bethea.benjamin@northmor.k12.oh.us,(419) 886-0886,"=""048819""",Northmor Local,0.0,0.0
1492,"=""027763""",Northridge High School,High School,"=""7-12""",Public School,School,Open,Montgomery,,,"2251 Timber Ln, Dayton, Ohio, 45414",(937) 275-7469,,,,,,,,Andrew Ewing,cewing@northridgeschools.org,(513) 571-2511,"=""048736""",Northridge Local,0.0,0.0
1493,"=""027771""",Northridge High School,High School,"=""9-12""",Public School,School,Open,Licking,,aanderson@laca.org,"6066 Johnstown Utica Rd, Johnstown, Ohio, 43031",(740) 967-6651,(740) 967-6957,,,,,,,Amy Anderson,aanderson@laca.org,(740) 967-6651,"=""048033""",Northridge Local,0.0,0.0
1494,"=""027805""",Claymont Intermediate School,Elementary School,"=""4-5""",Public School,School,Open,Tuscarawas,,,"220 N 3rd St, Dennison, Ohio, 44621",(740) 922-1901,,,,,,,,Elizabeth DiDonato,edidonato@claymontschools.org,(330) 407-2418,"=""043778""",Claymont City,0.0,0.0
1495,"=""027813""",Northtowne Elementary School,Elementary School,"K-5,P",Public School,School,Open,Franklin,,,"4767 Northtowne Blvd, Columbus, Ohio, 43229",(614) 365-5488,,,,,,,,Jason Brasno,jbrasno@columbus.k12.oh.us,(614) 365-5488,"=""043802""",Columbus City School District,0.0,0.0
1496,"=""027821""",Robert C Lindsey Elementary School,Elementary School,"=""K-5""",Public School,School,Open,Geauga,,,"11844 Caves Rd, Chesterland, Ohio, 44026",(440) 729-5980,(440) 729-5989,,,,,,,Kim Menta,kim.menta@westg.org,(216) 849-2552,"=""047225""",West Geauga Local,0.0,0.0
1497,"=""027839""",Northview Elementary School,Elementary School,"=""K-3""",Public School,School,Open,Hancock,,epayne@findlaycityschools.org,"133 Lexington Ave, Findlay, Ohio, 45840",(419) 425-8290,(419) 427-5462,,,,,,,Eric Payne,epayne@findlaycityschools.org,(419) 306-4165,"=""043984""",Findlay City,0.0,0.0
1498,"=""027854""",Northwest High School,High School,"=""9-12""",Public School,School,Open,Scioto,,,"914 Mohawk Dr, Mc Dermott, Ohio, 45652",(740) 259-2366,(740) 259-8544,,,,,,,Richard Burton,jason.burton@nwmohawks.org,(740) 285-6814,"=""049635""",Northwest Local,0.0,0.0
1499,"=""027862""",Northwest High School,High School,"=""9-12""",Public School,School,Open,Stark,,,"8580 Erie Ave NW, Canal Fulton, Ohio, 44614",(330) 854-2205,(330) 854-2030,,,,,,,Larry Tausch,larrytausch@gmail.com,(330) 280-7339,"=""049908""",Northwest Local,0.0,0.0
1500,"=""027870""",Northwestern Elementary School,Elementary School,"K-6,P",Public School,School,Open,Clark,,,"5610 Troy Rd, Springfield, Ohio, 45502",(937) 964-1351,(937) 964-6008,,,,,,,Luke Everhart,everhart@northwestern.k12.oh.us,(937) 631-0488,"=""046268""",Northwestern Local,0.0,0.0
1501,"=""027888""",Northwestern High School,High School,"=""9-12""",Public School,School,Open,Wayne,,nrws_burkhol@tccsa.net,"7473 N Elyria Rd, West Salem, Ohio, 44287",(419) 846-3833,(419) 846-3163,,,,,,,Michael Burkholder,nrws_burkhol@tccsa.net,(419) 846-3833,"=""050575""",Northwestern Local,0.0,0.0
1502,"=""027888""",Northwestern High School,STEM School,"=""9-12""",Public School,School,Open,Wayne,,nrws_burkhol@tccsa.net,"7473 N Elyria Rd, West Salem, Ohio, 44287",(419) 846-3833,(419) 846-3163,,,,,,,Michael Burkholder,nrws_burkhol@tccsa.net,(419) 846-3833,"=""050575""",Northwestern Local,0.0,0.0
1503,"=""027896""",Northwestern Junior/Senior High School,High School,"=""7-12""",Public School,School,Open,Clark,,,"5650 Troy Rd, Springfield, Ohio, 45502",(937) 964-1324,(937) 964-6006,,,,,,,Lori Swafford,swaffordl@nwlschools.org,(937) 964-1324,"=""046268""",Northwestern Local,0.0,0.0
1504,"=""027946""",Greenwood Elementary School,Elementary School,"=""K-6""",Public School,School,Open,Lucas,http://www.wls4kids.org,wcolon@wls4kids.org,"760 Northlawn Dr, Toledo, Ohio, 43612",(419) 473-8263,(419) 473-8264,,,,,,,William Colon,wcolon@wls4kids.org,(419) 873-9926,"=""048231""",Washington Local ,0.0,0.0
1505,"=""027953""",Northwood Elementary School,Elementary School,"K-6,P",Public School,School,Open,Wood,,,"600 Lemoyne Rd, Northwood, Ohio, 43619",(419) 691-4621,(419) 697-2479,,,,,,,Lindsey Krontz,lkrontz@northwoodschools.org,(419) 691-4621,"=""050716""",Northwood Local Schools,0.0,0.0
1506,"=""027961""",Northwood High School,High School,"=""7-12""",Public School,School,Open,Wood,,,"700 Lemoyne Rd, Northwood, Ohio, 43619",(419) 691-4651,(419) 691-2846,,,,,,,Erik Johnson,ejohnson@northwoodschools.org,,"=""050716""",Northwood Local Schools,0.0,0.0
1507,"=""027979""",Northwood Middle School,Middle School,"=""6-8""",Public School,School,Open,Lorain,,,"700 Gulf Rd, Elyria, Ohio, 44035",(440) 284-8016,(440) 284-1546,,,,,,,Michael Basinski,basinskimichael@elyriaschools.org,(440) 284-8056,"=""043943""",Elyria City Schools,0.0,0.0
1508,"=""027995""",Norton High School,High School,"=""9-12""",Public School,School,Open,Summit,,,"1 Panther Way, Norton, Ohio, 44203",(330) 825-7300,(330) 825-4275,,,,,,,Ryan Shanor,shanor@sssnet.com,(330) 834-2556,"=""044552""",Norton City,0.0,0.0
1509,"=""028001""",Norton Elementary School,Elementary School,"=""1-4""",Public School,School,Open,Summit,,,"3390 S Cleveland Massillon Rd, Norton, Ohio, 44203",(330) 825-3828,(330) 825-3817,,,,,,,,,,"=""044552""",Norton City,0.0,0.0
1510,"=""028027""",Norton Middle School,Middle School,"=""5-8""",Public School,School,Open,Summit,,,"4108 S Cleveland Massillon Rd, Norton, Ohio, 44203",(330) 825-5607,(330) 825-1461,,,,,,,Joyce Gerber,jgerber@nortonschools.org,(330) 697-2995,"=""044552""",Norton City,0.0,0.0
1511,"=""028035""",Norton Primary Elementary School,Elementary School,"K,P",Public School,School,Open,Summit,,,"3163 Greenwich Rd, Norton, Ohio, 44203",(330) 825-5133,(330) 825-0794,,,,,,,Eric Morris,emorris@nortonschools.org,(330) 706-2732,"=""044552""",Norton City,0.0,0.0
1512,"=""028050""",Norwalk Middle School,Middle School,"=""7-8""",Public School,School,Open,Huron,,swartzg@norwalktruckers.net,"64 Christie Ave, Norwalk, Ohio, 44857",(419) 668-8370,(419) 668-6622,,,,,,,Gary Swartz,swartzg@norwalktruckers.net,(419) 547-7981,"=""044560""",Norwalk City,0.0,0.0
1513,"=""028068""",Norwalk High School,High School,"=""9-12""",Public School,School,Open,Huron,,,"350 Shady Lane Dr, Norwalk, Ohio, 44857",(419) 668-2079,(419) 668-4719,,,,,,,Bradley Cooley,cooleyb@norwalktruckers.net,(419) 577-0743,"=""044560""",Norwalk City,0.0,0.0
1514,"=""028076""",Norwayne High School,High School,"=""9-12""",Public School,School,Open,Wayne,,,"350 S Main St, Creston, Ohio, 44217",(330) 435-6384,(330) 435-4633,,,,,,,Douglas Zimmerly,drzimmerl@gmail.com,(330) 464-2948,"=""050567""",Norwayne Local,0.0,0.0
1515,"=""028100""",Norwood High School,High School,"=""9-12""",Public School,School,Open,Hamilton,http://www.norwoodschools.org,,"2020 Sherman Ave, Norwood, Ohio, 45212",(513) 924-2800,(513) 396-5559,,,,,,,Bradley Winterod,brad.winterod@gtown.k12.oh.us,(937) 378-3730,"=""044578""",Norwood City ,0.0,0.0
1516,"=""028118""",Norwood View Elementary School,Elementary School,"=""K-6""",Public School,School,Open,Hamilton,http://www.norwoodschools.org,white.s@norwoodschools.org,"5328 Carthage Ave, Norwood, Ohio, 45212",(513) 924-2610,(513) 396-5527,,,,,,,Linville Yates,yates.l@norwoodschools.org,(513) 924-2611,"=""044578""",Norwood City ,0.0,0.0
1517,"=""028134""",Northwest Middle School,Middle School,"=""6-8""",Public School,School,Open,Stark,,,"8614 Erie Ave NW, Canal Fulton, Ohio, 44614",(330) 854-3303,(330) 854-5883,,,,,,,Gregory Ramos,ramos.g@northwest.sparcc.org,(330) 283-3715,"=""049908""",Northwest Local,0.0,0.0
1518,"=""028159""",Oak Intermediate Elementary School,Elementary School,"=""4-6""",Public School,School,Open,Scioto,,,"#1 Glenwood Tiger Trail, New Boston, Ohio, 45662",(740) 456-5225,,,,,,,,Christina Dever,christy.dever@nbtigers.net,(740) 776-2922,"=""044461""",New Boston Local,0.0,0.0
1519,"=""028183""",Oak Harbor High School,High School,"=""8-12""",Public School,School,Open,Ottawa,,,"11661 W State Route 163, Oak Harbor, Ohio, 43449",(419) 898-6216,(419) 898-0116,,,,,,,Cheryl Schell,cschell@bcssd.com,(419) 898-6216,"=""048926""",Benton Carroll Salem Local,0.0,0.0
1520,"=""028217""",Oak Hills High School,High School,"=""9-12""",Public School,School,Open,Hamilton,,,"3200 Ebenezer Rd, Cincinnati, Ohio, 45248",(513) 574-1205,(513) 514-1206,,,,,,,Jeffrey Hunt,hunt_t@ohlsd.org,(513) 467-7102,"=""047373""",Oak Hills Local ,0.0,0.0
1521,"=""028258""",Oakdale Elementary School,Elementary School,"=""K-8""",Public School,School,Open,Lucas,,tknighte@tps.org,"1620 E Broadway St, Toledo, Ohio, 43605",(419) 671-7350,,,,,,,,Robert Yenrick,ryenrick@tps.org,(419) 671-7350,"=""044909""",Toledo City,0.0,0.0
1522,"=""028290""",Oakland Park Alternative Elementary,Elementary School,"K-5,P",Public School,School,Open,Franklin,,,"3392 Atwood Ter, Columbus, Ohio, 43224",(614) 365-6058,(614) 365-6057,,,,,,,Mark Caudill,mcaudill15@yahoo.com,(740) 505-3653,"=""043802""",Columbus City School District,0.0,0.0
1523,"=""028316""",Oakmont  Elementary School,Elementary School,"=""K-5""",Public School,School,Open,Franklin,,,"5666 Oakmont Dr, Columbus, Ohio, 43232",(614) 365-5385,,,,,,,,Shawyna McFadden,,(614) 886-0015,"=""043802""",Columbus City School District,0.0,0.0
1524,"=""028324""",Oakview Elementary School,Elementary School,"=""K-5""",Public School,School,Open,Montgomery,,sarah.adams@ketteringschools.org,"4001 Ackerman Blvd, Kettering, Ohio, 45429",(937) 499-1870,(937) 499-1885,,,,,,,James Smith,aaron.smith@ketteringschools.org,(937) 499-1870,"=""044180""",Kettering City School District,0.0,0.0
1525,"=""028340""",Oakwood Elementary School,Elementary School,"=""1-5""",Public School,School,Open,Lorain,,,"925 Spruce St, Elyria, Ohio, 44035",(440) 284-8010,,,,,,,,Joy Jones,jonesjoy@elyriaschools.org,(440) 227-1015,"=""043943""",Elyria City Schools,0.0,0.0
1526,"=""028365""",GlenOak High School,High School,"=""9-12""",Public School,School,Open,Stark,,babicsm@plainlocal.org,"1801 Schneider St NE, Canton, Ohio, 44721",(330) 491-3800,(330) 491-3801,,,,,,,Michael Babics,babicsm@plainlocal.org,(330) 491-3909,"=""049932""",Plain Local,0.0,0.0
