School,SchoolOrHome,Type,Latitude,Longitude
246 Bachtel St SW,Home,Townhouse,40.8713987,-81.402677
3217 State St NW,Home,Townhouse,40.9277308,-81.4040724
40 Sandgate St NW,Home,Single Family Residential,40.9299921,-81.4111437
5781 Echodell Ave NW,Home,Single Family Residential,40.8649264,-81.4462886
7250 Thatcher Ave NW,Home,Single Family Residential,40.8860214,-81.4491422
7907 Amberly Cir NW,Home,Condo/Co-op,40.901137,-81.403028
2386 Carrington St NW,Home,Single Family Residential,40.9087839,-81.3886137
928 Woodside Ave SE,Home,Single Family Residential,40.8692098,-81.3930799
3317 Alderglen St NW,Home,Single Family Residential,40.9205204,-81.4064124
3177 Suffolk Ave NW,Home,Single Family Residential,40.9312342,-81.4062379
3150 Suffolk Ave NW,Home,Single Family Residential,40.9312342,-81.4062379
260 Oak Dr NW,Home,Single Family Residential,40.9030668,-81.4809712
4543 Forsythia Dr,Home,Single Family Residential,40.9378456,-81.4685569
3125 Whitewood St NW #5,Home,Single Family Residential,40.905521,-81.402777
1110 Wedgefield Ct,Home,Single Family Residential,40.8872831,-81.3854572
2810 Missenden St NW,Home,Single Family Residential,40.9222221,-81.3964294
2297 Burberry St NW,Home,Single Family Residential,40.9095283,-81.3873039
3420 Sandgate St NW,Home,Single Family Residential,40.9300289,-81.412101
39 Sandgate St NW,Home,Single Family Residential,40.93063,-81.406181
13 Sandgate St NW,Home,Single Family Residential,40.929738,-81.405377
9945 Guardian Cir NW,Home,Single Family Residential,40.9298092,-81.4115233
9926 Guardian Cir NW,Home,Single Family Residential,40.9293101,-81.4108817
2516 Tamworthy Cir NW,Home,Single Family Residential,40.916171,-81.390727
3028 Wise Rd,Home,Single Family Residential,40.93877,-81.422228
26 Sandgate St NW,Home,Single Family Residential,40.930087,-81.40425
3634 Mount Pleasant St NW,Home,Single Family Residential,40.9060611,-81.4132388
Willaman Ave NW,Home,Vacant Land,40.879102,-81.407654
3318 Suffolk Ave NW,Home,Single Family Residential,40.929698,-81.405784
1315 Lorrell Ave SW,Home,Single Family Residential,40.8636441,-81.4151492
891 Duck Hollow Cir,Home,Vacant Land,40.8845535,-81.3845598
5655 Cherokee Ave NW,Home,Single Family Residential,40.8822249,-81.4530577
2140 Vixen St NW,Home,Single Family Residential,40.916981,-81.3834215
19 Sandgate St NW,Home,Single Family Residential,40.930151,-81.407036
3172 Suffolk Ave NW,Home,Single Family Residential,40.930209,-81.403617
136 Spruce Dr NW,Home,Single Family Residential,40.9033926,-81.4718816
5880 Kingsboro Cir NW,Home,Single Family Residential,40.8897855,-81.4573163
3925 Greenfield Farms Dr,Home,Single Family Residential,40.9498179,-81.428907
8521 Pleasantwood Ave NW,Home,Townhouse,40.9081707,-81.4157717
8797 Stonebridge Ave NW,Home,Single Family Residential,40.9171792,-81.3811624
2937 Halwyck Cir NW,Home,Condo/Co-op,40.9231028,-81.3989199
4828 Echoglenn St NW,Home,Single Family Residential,40.8575197,-81.4384781
711 - 713 N Main St,Home,Townhouse,40.8834779,-81.4037504
2745 Barclay Cir NW,Home,Vacant Land,40.9120706,-81.3960463
7131 Hammerstone Cir NW,Home,Single Family Residential,40.884196,-81.463559
2395 Macnaughten St NW,Home,Single Family Residential,40.9105257,-81.3897625
1345 Mount Pleasant St NW,Home,Single Family Residential,40.905288,-81.3689209
7747 Lake O Springs Ave NW,Home,Single Family Residential,40.8932516,-81.4597726
815 SE Pineview Ave,Home,Single Family Residential,40.8705485,-81.3871321
LOT 2 Applegrove St NE,Home,Vacant Land,40.8905713,-81.405613
V/L Lee St NW,Home,Vacant Land,40.912595,-81.404175
2355 Carrington St NW,Home,Single Family Residential,40.9099743,-81.3885493
7299 Bentham Cir NW,Home,Single Family Residential,40.8837224,-81.4849858
975 Peppergrass Dr NE,Home,Vacant Land,40.8896491,-81.3880092
509 Schneider St SE,Home,Single Family Residential,40.8685142,-81.3940032
3187 Walnut St,Home,Single Family Residential,40.9296307,-81.4197954
9535 Cleveland Ave NW,Home,Single Family Residential,40.9248566,-81.4036216
1330 7th St NE,Home,Single Family Residential,40.8822606,-81.3833098
2167 Fife Cir NW,Home,Single Family Residential,40.9126628,-81.3846842
3943 Daventry St NW,Home,Single Family Residential,40.8956922,-81.4200611
1535 Chatham Ave NE,Home,Single Family Residential,40.8938111,-81.4014318
7394 Brushmore Ave NW,Home,Single Family Residential,40.8899943,-81.3662146
2756 Carlton St NW,Home,Vacant Land,40.9030197,-81.3965121
68 Cherry Dr NW,Home,Single Family Residential,40.9069169,-81.4764805
6983 Lorraine Ave NW,Home,Single Family Residential,40.8820708,-81.4842682
1834 Koons Rd,Home,Single Family Residential,40.9207789,-81.469565
5151 Arlington Rd,Home,Single Family Residential,40.9307023,-81.4948071
Cleveland Ave NW,Home,Vacant Land,40.907588,-81.405151
0000 Buttonshoe Ave NW,Home,Vacant Land,40.904025,-81.37991
V/L Vincent Rd NW,Home,Vacant Land,40.86299,-81.381789
2427 Radford St NW,Home,Single Family Residential,40.8985831,-81.3908254
2861 Macduff Dr NW,Home,Single Family Residential,40.9126612,-81.3964294
5823 Glyn Dr NW,Home,Single Family Residential,40.8667131,-81.3830522
8761 Deacon Dr NW,Home,Single Family Residential,40.9122828,-81.3903315
Wales Ave NW,Home,Vacant Land,40.889687,-81.479384
4350 Portage St NW,Home,Single Family Residential,40.8811525,-81.4283593
308 Heatherwood St SW,Home,Single Family Residential,40.8602238,-81.4037701
7014 Chippewa Ave NW,Home,Single Family Residential,40.8826837,-81.450923
5200 Portage St NW,Home,Single Family Residential,40.8787368,-81.4435842
3790 State St NW,Home,Single Family Residential,40.9282252,-81.4151789
2831 Shillingford Cir NW,Home,Single Family Residential,40.9254875,-81.3960858
5809 Portage St NW,Home,Single Family Residential,40.878484,-81.4564369
232 Oak Dr NW,Home,Single Family Residential,40.9026356,-81.4772651
313 Woodside Ave NE,Home,Single Family Residential,40.8786062,-81.3931443
7699 Bethany Cir NW,Home,Single Family Residential,40.889257,-81.4930059
1255 Longshadow Ave NE,Home,Single Family Residential,40.8890215,-81.3851136
4839 Pond Dr NW,Home,Condo/Co-op,40.857105,-81.4384089
1105 Marquardt Ave NW,Home,Single Family Residential,40.8863643,-81.3831381
3681 Oak Glen Cir NW,Home,Single Family Residential,40.8970054,-81.4142691
7170 Farmdale Ave NW,Home,Single Family Residential,40.8848891,-81.4922969
7514 Farmview St NW,Home,Single Family Residential,40.8806775,-81.4890909
8207 Macthomas Ave NW,Home,Vacant Land,40.9081114,-81.3834662
Shadow Ridge Cir NW,Home,Vacant Land,40.891727,-81.45415
5645 Shadow Ridge Cir NW,Home,Vacant Land,40.8901,-81.4528
5708 Shadow Ridge Cir NW,Home,Vacant Land,40.8901,-81.4528
5632 Shadow Ridge Cir NW,Home,Vacant Land,40.900924,-81.430518
1290 Longshadow,Home,Single Family Residential,40.8895887,-81.384414
289 Stratavon Dr NW,Home,Townhouse,40.8947153,-81.4089348
4786 Mayfair Rd,Home,Single Family Residential,40.939459,-81.4322013
519 Woodside Ave NE,Home,Single Family Residential,40.8817764,-81.393198
7672 Braucher St NW,Home,Single Family Residential,40.8869813,-81.4917943
8584 Deacon Dr NW,Home,Single Family Residential,40.9129054,-81.3868744
0000 Burkey Ave NW,Home,Vacant Land,40.907224,-81.412107
Glenwood St SW,Home,Vacant Land,40.870092,-81.402488
Summit St SW,Home,Vacant Land,40.870462,-81.402367
Saybrook Ave NW,Home,Vacant Land,40.904762,-81.505582
8286 Macthomas Ave NW,Home,Vacant Land,40.9094037,-81.3827762
8335 Macthomas Ave NW,Home,Vacant Land,40.9099509,-81.384046
8265 Macthomas Ave NW,Home,Vacant Land,40.9089315,-81.383467
8214 Macthomas Ave NW,Home,Vacant Land,40.9082041,-81.3822292
8196 Macthomas Ave NW,Home,Vacant Land,40.9078412,-81.3822457
8232 Macthomas Ave NW,Home,Vacant Land,40.9085063,-81.382284
8264 Macthomas Ave NW,Home,Vacant Land,40.9091268,-81.3825556
8308 Macthomas Ave NW,Home,Vacant Land,40.9096783,-81.3829463
8191 Macthomas Ave NW,Home,Vacant Land,40.9078234,-81.3834812
8305 Macthomas Ave NW,Home,Vacant Land,40.9094239,-81.3838236
10175 Jordan Cir NW,Home,Single Family Residential,40.9329494,-81.4130885
3715 State St NW,Home,Single Family Residential,40.928667,-81.413711
Sienna,Home,Single Family Residential,40.929796,-81.402778
Hudson,Home,Single Family Residential,40.929796,-81.402778
Florence,Home,Single Family Residential,40.9302887,-81.4060034
Venice,Home,Single Family Residential,40.9302887,-81.4060034
Carolina Place,Home,Single Family Residential,40.929796,-81.402778
Aviano,Home,Single Family Residential,40.929796,-81.402778
Ballenger,Home,Single Family Residential,40.929796,-81.402778
Columbia,Home,Single Family Residential,40.929796,-81.402778
Landon,Home,Single Family Residential,40.929796,-81.402778
5448 Poolbeg St #273,Home,Condo/Co-op,39.8982196,-82.8497547
226 Kramer St,Home,Single Family Residential,39.8466851,-82.7980088
6935 Greensview Village Dr,Home,Condo/Co-op,39.8398258,-82.8245071
5507 Poolbeg St #260,Home,Condo/Co-op,39.8978112,-82.8485942
6669 Lagrange Dr Unit 45C,Home,Condo/Co-op,39.8743134,-82.8250014
223 N Sarwil Dr,Home,Single Family Residential,39.8506,-82.812113
6520 Nottinghill Trail Dr,Home,Condo/Co-op,39.8817992,-82.820971
6800 Alex Dr,Home,Single Family Residential,39.8617463,-82.8190587
7450 Busey Rd NW,Home,Single Family Residential,39.8620049,-82.7330274
6423 Blue Knoll Dr,Home,Condo/Co-op,39.8806239,-82.8233783
96 E Columbus St,Home,Single Family Residential,39.840402,-82.802536
7265 Konold Ct,Home,Single Family Residential,39.832422,-82.83289
5587 Readers St,Home,Single Family Residential,39.8663558,-82.816028
3597 Motts Place Ct,Home,Single Family Residential,39.9102761,-82.8144494
6880 Riding Trail Dr,Home,Single Family Residential,39.8978146,-82.8116078
0 Allen Rd NW,Home,Vacant Land,39.841434,-82.722902
3220 Brice Rd,Home,Single Family Residential,39.9114619,-82.8322958
5437 Rothermund Dr,Home,Single Family Residential,39.8706094,-82.8072716
7432 Basil Western Rd,Home,Single Family Residential,39.846039,-82.731488
6317 Marengo St,Home,Condo/Co-op,39.8718622,-82.8274769
0 Sitterley Rd NW Lot 2,Home,Vacant Land,39.788682,-82.788409
7251 Snowberry Ln,Home,Single Family Residential,39.8336538,-82.8258354
7737 Glenwood Ave NW,Home,Single Family Residential,39.845463,-82.7368004
8054 Jefferson Dr,Home,Single Family Residential,39.8486496,-82.7439435
6433 Buckner St,Home,Single Family Residential,39.8323671,-82.8212055
10080 Fairfield Farms Dr,Home,Single Family Residential,39.7580687,-82.7906398
7693 Glenwood Ave NW,Home,Single Family Residential,39.8448738,-82.736969
3528 Woody Way,Home,Single Family Residential,39.9111863,-82.8127024
5688 Winchester Pike,Home,Single Family Residential,39.8770577,-82.8442678
7470 Williamson Ln,Home,Single Family Residential,39.8302207,-82.8111026
7549 Silver Springs St NW,Home,Single Family Residential,39.842906,-82.734041
11445 Marcy Rd NW,Home,Single Family Residential,39.7485751,-82.8177117
7555 Allen Rd,Home,Single Family Residential,39.841432,-82.72471
7299 Connor Ave,Home,Single Family Residential,39.8381158,-82.8174802
3787 Sugarbark Dr,Home,Single Family Residential,39.90456,-82.807812
525 Gender Rd,Home,Single Family Residential,39.831792,-82.8316224
6023 Waterloo Rd NW,Home,Single Family Residential,39.8236208,-82.7956508
7172 Snowberry Ln,Home,Single Family Residential,39.8349199,-82.8243202
259 Kramer St,Home,Single Family Residential,39.845948,-82.7967667
7122 Rosemount Way,Home,Single Family Residential,39.83619,-82.821611
6070 Lithopolis Winchester Rd NW,Home,Single Family Residential,39.8240063,-82.8023126
6194 Mistover Ln,Home,Single Family Residential,39.8317605,-82.829497
6566 Braddock Pl,Home,Single Family Residential,39.8358708,-82.8212686
34 West St,Home,Single Family Residential,39.8450931,-82.8114614
464 Autumn Ridge Cir,Home,Condo/Co-op,39.860526,-82.773082
448 Autumn Ridge Cir,Home,Condo/Co-op,39.860526,-82.773082
6888 Eliza Dr,Home,Single Family Residential,39.8437263,-82.7999457
0 Cedar Hill Rd NW,Home,Vacant Land,39.783962,-82.805518
7412 Busey Rd NW,Home,Single Family Residential,39.858128,-82.732333
10020 Lithopolis Rd NW,Home,Single Family Residential,39.7836624,-82.7869339
6098 Harrison Ln,Home,Single Family Residential,39.832748,-82.831572
4705 Lithopolis Winchester Rd,Home,Single Family Residential,39.8053872,-82.8047097
7244 Porter Dr,Home,Single Family Residential,39.8360534,-82.81647
5447 Town Hill Dr,Home,Single Family Residential,39.8890468,-82.8500743
0 Jefferson Dr,Home,Vacant Land,39.848073,-82.745383
0 Winchester Pike,Home,Vacant Land,39.890378,-82.856122
7512 Autumn Joy Ave,Home,Single Family Residential,39.905692,-82.805201
3724 Winding Path Dr,Home,Single Family Residential,39.903879,-82.804716
3854 Mason Rd NW,Home,Single Family Residential,39.791056,-82.7684589
47 E Oak St,Home,Single Family Residential,39.8448621,-82.8021351
0 Clinton St,Home,Vacant Land,39.842879,-82.809572
3588 Cedar Hill Rd NW,Home,Single Family Residential,39.7886249,-82.8052718
106 E Columbus St,Home,Single Family Residential,39.8402709,-82.8022614
6523 Dorothys Crk,Home,Unknown,39.9048947,-82.8225353
3781 Sugarbark Dr,Home,Single Family Residential,39.9046881,-82.8078036
5600 Winchester Pike,Home,Vacant Land,39.8798699,-82.847087
0 Clinton St,Home,Vacant Land,39.842696,-82.809588
0 N High St,Home,Vacant Land,39.8430291,-82.8054612
9125 Basil Western Rd NW,Home,Single Family Residential,39.8423005,-82.7648629
0 White Tail Drive Dr,Home,Vacant Land,39.82154,-82.800201
0 Basil-western Rd NW,Home,Vacant Land,39.8428425,-82.7748563
4306 Coble Bowman Way,Home,Condo/Co-op,39.8910328,-82.8464205
0 Gender Rd,Home,Vacant Land,39.844277,-82.829798
0 Groveport Rd,Home,Vacant Land,39.847978,-82.839288
0 Allen Rd NW Lot 7 - 2 acres,Home,Vacant Land,39.846825,-82.722661
10570 Winchester Rd NW,Home,Vacant Land,39.8312568,-82.793343
5590 Waterloo Rd NW,Home,Single Family Residential,39.8136499,-82.7935477
0 Shannon Rd,Home,Vacant Land,39.893459,-82.847564
0 Groveport Rd,Home,Vacant Land,39.844701,-82.810844
0 Winchester Southern Rd,Home,Vacant Land,39.809175,-82.821434
5100 Ebright Rd,Home,Vacant Land,39.880724,-82.858476
0 Wright Rd,Home,Vacant Land,39.890082,-82.822985
6147 Dietz Dr #227,Home,Single Family Residential,39.8349692,-82.8313238
,Home,Single Family Residential,39.789052,-82.7966825
300 Bowen Rd,Home,Single Family Residential,39.853553,-82.801422
0 Bowen Rd,Home,Vacant Land,39.855405,-82.801073
,Home,Vacant Land,39.760155,-82.764133
0 Pickerington Rd,Home,Vacant Land,39.835525,-82.744992
0 Alspach Rd,Home,Vacant Land,39.76065,-82.768641
8699 Lithopolis Rd NW,Home,Vacant Land,39.772532,-82.763294
7190 Babbert Pl,Home,Vacant Land,39.8419942,-82.7821058
7800 Amanda Northern Rd,Home,Vacant Land,39.846413,-82.7545259
6346 Lakeview Cir,Home,Condo/Co-op,39.8528103,-82.8196136
11861 Alspach Rd NW,Home,Single Family Residential,39.7659488,-82.8243833
6147 Dietz Dr,Home,Single Family Residential,39.8423344,-82.8240854
Redmond,Home,Single Family Residential,39.840196,-82.796909
Newport,Home,Single Family Residential,39.840196,-82.796909
Sycamore II,Home,Single Family Residential,39.840196,-82.796909
Roseville,Home,Single Family Residential,39.9008657,-82.8060507
Somerset,Home,Single Family Residential,39.9008657,-82.8060507
Monterey,Home,Single Family Residential,39.840196,-82.796909
Bellepointe,Home,Single Family Residential,39.9008657,-82.8060507
Kensbrooke,Home,Single Family Residential,39.840196,-82.796909
Hollister,Home,Single Family Residential,39.840196,-82.796909
Montgomery,Home,Single Family Residential,39.840196,-82.796909
Hollister II,Home,Single Family Residential,39.840196,-82.796909
Hampshire,Home,Single Family Residential,39.840196,-82.796909
Hawthorne,Home,Single Family Residential,39.840196,-82.796909
Bristol II,Home,Single Family Residential,39.840196,-82.796909
Columbia,Home,Single Family Residential,39.840196,-82.796909
Belmont,Home,Single Family Residential,39.840196,-82.796909
Denali,Home,Single Family Residential,39.840196,-82.796909
Newport II,Home,Single Family Residential,39.840196,-82.796909
Coronada,Home,Single Family Residential,39.840196,-82.796909
Campton,Home,Single Family Residential,39.840196,-82.796909
Ascend,Home,Single Family Residential,39.861105,-82.773434
Bristol,Home,Single Family Residential,39.840196,-82.796909
Martin Ray,Home,Single Family Residential,39.861105,-82.773434
Windham,Home,Single Family Residential,39.892598,-82.847088
Castle Rock,Home,Single Family Residential,39.861105,-82.773434
Belmont II,Home,Single Family Residential,39.840196,-82.796909
Abbeyville,Home,Single Family Residential,39.861105,-82.773434
Redwood,Home,Single Family Residential,39.9008657,-82.8060507
Baxley II,Home,Single Family Residential,39.840196,-82.796909
Baxley,Home,Single Family Residential,39.840196,-82.796909
Preston,Home,Single Family Residential,39.836911,-82.830525
Birmingham,Home,Single Family Residential,39.870055,-82.799735
Berkshire,Home,Single Family Residential,39.870055,-82.799735
Oxnard I,Home,Single Family Residential,39.845743,-82.7743481
Charles,Home,Single Family Residential,39.836911,-82.830525
Portland,Home,Single Family Residential,39.845743,-82.7743481
Keaton,Home,Single Family Residential,39.836911,-82.830525
Thorndale,Home,Single Family Residential,39.845743,-82.7743481
Longdale,Home,Single Family Residential,39.845743,-82.7743481
Pendleton II,Home,Single Family Residential,39.845743,-82.7743481
Charlottesville,Home,Single Family Residential,39.845743,-82.7743481
Dover,Home,Single Family Residential,39.845743,-82.7743481
Denali,Home,Single Family Residential,39.836911,-82.830525
Pendleton,Home,Single Family Residential,39.845743,-82.7743481
Redwood,Home,Single Family Residential,39.836911,-82.830525
Wright,Home,Single Family Residential,39.845743,-82.7743481
Cumberland,Home,Single Family Residential,39.836911,-82.830525
Baltimore,Home,Single Family Residential,39.845743,-82.7743481
Yosemite,Home,Single Family Residential,39.836911,-82.830525
Philadelphia,Home,Single Family Residential,39.845743,-82.7743481
Abington,Home,Single Family Residential,39.892598,-82.847088
Cumberland,Home,Single Family Residential,39.9008657,-82.8060507
Greenbriar,Home,Single Family Residential,39.836911,-82.830525
McKinley,Home,Single Family Residential,39.845743,-82.7743481
Bradford,Home,Single Family Residential,39.892598,-82.847088
Faulkner,Home,Single Family Residential,39.845743,-82.7743481
Yosemite,Home,Single Family Residential,39.9008657,-82.8060507
Appleton,Home,Single Family Residential,39.9008657,-82.8060507
Beachwood,Home,Single Family Residential,39.845743,-82.7743481
Greenbriar,Home,Single Family Residential,39.9008657,-82.8060507
Gable,Home,Single Family Residential,39.845743,-82.7743481
Astoria,Home,Townhouse,39.860526,-82.773082
Morris,Home,Single Family Residential,39.836911,-82.830525
Dandridge,Home,Single Family Residential,39.845743,-82.7743481
Brighton,Home,Townhouse,39.860526,-82.773082
Winchester,Home,Single Family Residential,39.9008657,-82.8060507
Whitman,Home,Single Family Residential,39.836911,-82.830525
Fairfield,Home,Single Family Residential,39.840196,-82.796909
Rockford,Home,Single Family Residential,39.845743,-82.7743481
Hampton,Home,Townhouse,39.860526,-82.773082
Oakwood,Home,Single Family Residential,39.845743,-82.7743481
Chelsea,Home,Townhouse,39.860526,-82.773082
Olvera II,Home,Single Family Residential,39.845743,-82.7743481
New Hampshire,Home,Single Family Residential,39.845743,-82.7743481
Charlotte,Home,Single Family Residential,39.9008657,-82.8060507
Kingston,Home,Single Family Residential,39.845743,-82.7743481
Carrington,Home,Single Family Residential,39.845743,-82.7743481
Blair,Home,Single Family Residential,39.836911,-82.830525
Delaney,Home,Single Family Residential,39.836911,-82.830525
Hartland,Home,Single Family Residential,39.845743,-82.7743481
Chatham,Home,Single Family Residential,39.870055,-82.799735
Calvin,Home,Single Family Residential,39.836911,-82.830525
Turner,Home,Single Family Residential,39.845743,-82.7743481
Newcastle,Home,Single Family Residential,39.870055,-82.799735
Turner,Home,Single Family Residential,39.836911,-82.830525
Springfield,Home,Single Family Residential,39.836911,-82.830525
Sedgwick,Home,Single Family Residential,39.845743,-82.7743481
Knoxville,Home,Single Family Residential,39.870055,-82.799735
Danville,Home,Single Family Residential,39.9008657,-82.8060507
Foster,Home,Single Family Residential,39.836911,-82.830525
Bennett,Home,Single Family Residential,39.845743,-82.7743481
Grandin,Home,Single Family Residential,39.836911,-82.830525
Prescott,Home,Single Family Residential,39.845743,-82.7743481
Quinn,Home,Single Family Residential,39.836911,-82.830525
Chandler,Home,Single Family Residential,39.845743,-82.7743481
Newbury,Home,Single Family Residential,39.870055,-82.799735
Avery,Home,Single Family Residential,39.8369107,-82.83052504
Taft,Home,Single Family Residential,39.845743,-82.7743481
Cape Charles,Home,Single Family Residential,39.845743,-82.7743481
Somerset,Home,Single Family Residential,39.870055,-82.799735
Ellington,Home,Single Family Residential,39.870055,-82.799735
Carnegie,Home,Single Family Residential,39.845743,-82.7743481
Maple,Home,Single Family Residential,39.9008657,-82.8060507
Hawthorne II,Home,Single Family Residential,39.840196,-82.796909
Lafayette II,Home,Single Family Residential,39.840196,-82.796909
Pittsburgh,Home,Single Family Residential,39.845743,-82.7743481
Jordan,Home,Single Family Residential,39.870055,-82.799735
Glenn,Home,Single Family Residential,39.845743,-82.7743481
Stratford,Home,Single Family Residential,39.870055,-82.799735
Concord,Home,Single Family Residential,39.845743,-82.7743481
Preston,Home,Single Family Residential,39.892598,-82.847088
Westport,Home,Single Family Residential,39.870055,-82.799735
Maya,Home,Single Family Residential,39.845743,-82.7743481
Marquette,Home,Single Family Residential,39.892598,-82.847088
Amelia,Home,Single Family Residential,39.892598,-82.847088
Rockford,Home,Single Family Residential,39.870055,-82.799735
Covington,Home,Single Family Residential,39.845743,-82.7743481
Danielle,Home,Single Family Residential,39.845743,-82.7743481
Brooklynn,Home,Single Family Residential,39.845743,-82.7743481
Dallas,Home,Single Family Residential,39.870055,-82.799735
Beacon,Home,Single Family Residential,39.836911,-82.830525
Avella,Home,Single Family Residential,39.870055,-82.799735
Magnolia,Home,Single Family Residential,39.836911,-82.830525
Winchester,Home,Single Family Residential,39.840196,-82.796909
Wesley,Home,Single Family Residential,39.9008657,-82.8060507
Beacon,Home,Single Family Residential,39.9008657,-82.8060507
West Haven,Home,Single Family Residential,39.840196,-82.796909
Stockton,Home,Single Family Residential,39.840196,-82.796909
3967 Lovell Ave,Home,Single Family Residential,39.161339,-84.613204
2885 Lafeuille Ave,Home,Single Family Residential,39.1385814,-84.5908481
2545 Mustang Dr,Home,Single Family Residential,39.1530124,-84.5792878
2615 Ocosta Ave,Home,Single Family Residential,39.140656,-84.586634
2301 Harrison Ave,Home,Multi-Family (2-4 Unit),39.1365343,-84.576875
3607 Puhlman Ave,Home,Single Family Residential,39.163573,-84.607564
2782 Queenswood Dr,Home,Single Family Residential,39.1342608,-84.5852226
3875 Taft Ave,Home,Single Family Residential,39.1580579,-84.604094
3315 Stanhope Ave,Home,Single Family Residential,39.1474296,-84.6145414
2545 Harrison Ave,Home,Multi-Family (2-4 Unit),39.1413511,-84.5845624
2546 Homestead Pl,Home,Multi-Family (2-4 Unit),39.1330006,-84.5728032
3519 St Martins Pl,Home,Multi-Family (2-4 Unit),39.152781,-84.608981
4141 Janward Dr,Home,Single Family Residential,39.164546,-84.618503
2819 Orland Ave,Home,Single Family Residential,39.1370051,-84.5743583
3126 Daytona Ave,Home,Single Family Residential,39.1466939,-84.60493
2665 Morningridge Dr,Home,Single Family Residential,39.1324323,-84.5869331
3353 Alpine Pl #13,Home,Condo/Co-op,39.1630036,-84.6047504
3371 Diehl Rd #42,Home,Condo/Co-op,39.169839,-84.600604
3599 Westwood Northern Blvd,Home,Condo/Co-op,39.1647022,-84.6075584
3964 Kenkel Ave,Home,Multi-Family (2-4 Unit),39.161413,-84.61848
3828 Glenmore Ave,Home,Single Family Residential,39.157352,-84.610614
2551 Mustang Dr,Home,Single Family Residential,39.1530117,-84.5795144
3840 Trevor Ave,Home,Single Family Residential,39.1579858,-84.6120982
2268 Harrison Ave,Home,Single Family Residential,39.1359582,-84.5753814
3065 Bracken Wood Ln,Home,Multi-Family (2-4 Unit),39.1430457,-84.5839745
2990 Diehl Rd,Home,Single Family Residential,39.1685346,-84.5935482
2500 Harrison Ave,Home,Single Family Residential,39.1417765,-84.5828288
3840 Reemelin Rd,Home,Single Family Residential,39.1731334,-84.6115049
2358 Harrison Ave #28,Home,Condo/Co-op,39.1382221,-84.5778364
3751 Marydell Pl,Home,Multi-Family (2-4 Unit),39.1562119,-84.615858
3304 Phoenix Ave,Home,Single Family Residential,39.160111,-84.6046549
3751 Applegate Ave,Home,Single Family Residential,39.148897,-84.6154753
3416 Mayfair Ave,Home,Single Family Residential,39.150314,-84.617707
3241 Boudinot Ave,Home,Single Family Residential,39.1453602,-84.6041838
3211 Glenmore Ave,Home,Single Family Residential,39.144575,-84.6135088
3035 Penrose Pl,Home,Single Family Residential,39.1470668,-84.6016478
2123 St Leo Pl,Home,Multi-Family (2-4 Unit),39.1352444,-84.5687515
2668 Shaffer Ave,Home,Multi-Family (2-4 Unit),39.1447361,-84.5845883
2941 Aquadale Ln,Home,Single Family Residential,39.1391764,-84.5748494
3357 Saffer St,Home,Single Family Residential,39.145146,-84.5724758
2805 Urwiler Ave,Home,Single Family Residential,39.1502088,-84.5942734
2754 Powell Dr,Home,Single Family Residential,39.1428057,-84.5914267
2828 Ruberg Ave,Home,Single Family Residential,39.1371847,-84.571248
2753 McKinley Ave,Home,Multi-Family (2-4 Unit),39.1432805,-84.591824
2631 Fenton Ave,Home,Multi-Family (2-4 Unit),39.1356226,-84.5777549
3017 Temple Ave,Home,Multi-Family (2-4 Unit),39.1526289,-84.6002711
2800 Montana Ave,Home,Single Family Residential,39.150259,-84.5898903
2850 Ruberg Ave,Home,Single Family Residential,39.1379106,-84.5711662
2196 High St,Home,Vacant Land,39.12932,-84.574266
3890 Reemelin Rd,Home,Vacant Land,39.173296,-84.612502
3900 Reemelin Rd,Home,Vacant Land,39.173303,-84.612875
2654 Fenton Ave,Home,Multi-Family (2-4 Unit),39.1359433,-84.5768697
3637 Mozart Ave,Home,Single Family Residential,39.1541327,-84.6104186
4160 Boudinot Ave,Home,Single Family Residential,39.1645963,-84.6014195
2551 Harrison Ave,Home,Vacant Land,39.1411299,-84.584573
2822 Shaffer Ave,Home,Vacant Land,39.1452914,-84.5912178
3051 Worthington Ave,Home,Single Family Residential,39.143045,-84.581192
3035 Percy Ave,Home,Single Family Residential,39.1425665,-84.5821639
3531 Rackacres Dr,Home,Single Family Residential,39.1749926,-84.6039589
3976 Washington Ave,Home,Multi-Family (2-4 Unit),39.1618496,-84.6139596
2537 Millennium Pl,Home,Vacant Land,39.148876,-84.582025
2533 Millennium Pl,Home,Vacant Land,39.148834,-84.58185
2544 Millennium Pl,Home,Vacant Land,39.1492532,-84.5824966
2548 Millennium Pl,Home,Vacant Land,39.1492645,-84.5826817
2552 Millennium Pl,Home,Vacant Land,39.1492759,-84.5828673
2556 Millennium Pl,Home,Vacant Land,39.1492872,-84.5830519
2564 Millennium Pl,Home,Vacant Land,39.1492986,-84.5832375
4011 Trevor Ave,Home,Multi-Family (2-4 Unit),39.163561,-84.611914
220 Washington Rd,Home,Single Family Residential,39.6529442,-83.9295572
1633 Stonebury Ct #118,Home,Single Family Residential,39.7171691,-83.9929354
895 Hamlet Dr,Home,Single Family Residential,39.695883,-83.9233618
809 Mill Rd,Home,Vacant Land,39.577572,-83.913744
2910 Eleazer Rd,Home,Single Family Residential,39.594274,-83.871823
910 Mead Rd,Home,Single Family Residential,39.6644675,-84.0357007
738 Chestnut St,Home,Single Family Residential,39.6747268,-83.9324023
